Team,Year,Perc_foreign
Sheffield Wednesday,1995,37.93
Sheffield Wednesday,1996,33.33
Sheffield Wednesday,1997,51.35
Sheffield Wednesday,1998,54.84
Sheffield Wednesday,1999,53.12
Sheffield Wednesday,2000,
Sheffield Wednesday,2001,
Sheffield Wednesday,2002,
Sheffield Wednesday,2003,
Sheffield Wednesday,2004,
Sheffield Wednesday,2005,
Sheffield Wednesday,2006,
Sheffield Wednesday,2007,
Sheffield Wednesday,2008,
Sheffield Wednesday,2009,
Sheffield Wednesday,2010,
Sheffield Wednesday,2011,
Sheffield Wednesday,2012,
Sheffield Wednesday,2013,
Sheffield Wednesday,2014,
Southampton FC,1992,24.0
Southampton FC,1993,22.58
Southampton FC,1994,30.77
Southampton FC,1995,24.0
Southampton FC,1996,38.24
Southampton FC,1997,40.54
Southampton FC,1998,38.24
Southampton FC,1999,44.44
Southampton FC,2000,51.72
Southampton FC,2001,51.52
Southampton FC,2002,57.58
Southampton FC,2003,58.82
Southampton FC,2004,60.0
Southampton FC,2005,
Southampton FC,2006,
Southampton FC,2007,
Southampton FC,2008,
Southampton FC,2009,
Southampton FC,2010,
Southampton FC,2011,
Southampton FC,2012,43.24
Southampton FC,2013,51.61
Southampton FC,2014,69.23
Stoke City,1992,
Stoke City,1993,
Stoke City,1994,
Stoke City,1995,
Stoke City,1996,
Stoke City,1997,
Stoke City,1998,
Stoke City,1999,
Stoke City,2000,
Stoke City,2001,
Stoke City,2002,
Stoke City,2003,
Stoke City,2004,
Stoke City,2005,
Stoke City,2006,
Stoke City,2007,
Stoke City,2008,51.72
Stoke City,2009,48.65
Stoke City,2010,60.61
Stoke City,2011,48.39
Stoke City,2012,55.17
Stoke City,2013,68.97
Stoke City,2014,77.78
Sunderland AFC,1992,
Sunderland AFC,1993,
Sunderland AFC,1994,
Sunderland AFC,1995,
Sunderland AFC,1996,30.0
Sunderland AFC,1997,
Sunderland AFC,1998,
Sunderland AFC,1999,51.52
Sunderland AFC,2000,61.11
Sunderland AFC,2001,75.86
Sunderland AFC,2002,64.29
Sunderland AFC,2003,
Sunderland AFC,2004,
Sunderland AFC,2005,64.29
Sunderland AFC,2006,
Sunderland AFC,2007,73.81
Sunderland AFC,2008,67.74
Sunderland AFC,2009,65.79
Sunderland AFC,2010,48.72
Sunderland AFC,2011,54.55
Sunderland AFC,2012,58.06
Sunderland AFC,2013,75.68
Sunderland AFC,2014,52.38
Swansea City,1992,
Swansea City,1993,
Swansea City,1994,
Swansea City,1995,
Swansea City,1996,
Swansea City,1997,
Swansea City,1998,
Swansea City,1999,
Swansea City,2000,
Swansea City,2001,
Swansea City,2002,
Swansea City,2003,
Swansea City,2004,
Swansea City,2005,
Swansea City,2006,
Swansea City,2007,
Swansea City,2008,
Swansea City,2009,
Swansea City,2010,
Swansea City,2011,81.25
Swansea City,2012,86.21
Swansea City,2013,87.1
Swansea City,2014,88.89
Swindon Town,1992,
Swindon Town,1993,25.93
Swindon Town,1994,
Swindon Town,1995,
Swindon Town,1996,
Swindon Town,1997,
Swindon Town,1998,
Swindon Town,1999,
Swindon Town,2000,
Swindon Town,2001,
Swindon Town,2002,
Swindon Town,2003,
Swindon Town,2004,
Swindon Town,2005,
Swindon Town,2006,
Swindon Town,2007,
Swindon Town,2008,
Swindon Town,2009,
Swindon Town,2010,
Swindon Town,2011,
Swindon Town,2012,
Swindon Town,2013,
